date,nav,cum_return
2025-11-14,993264690.0,0.99326469
2025-11-17,999969550.0,0.99996955
2025-11-18,972404680.0,0.97240468
2025-11-19,981856480.0,0.98185648
2025-11-20,991512320.0,0.99151232
2025-11-21,972815280.0,0.97281528
2025-11-24,986770110.0,0.98677011
2025-11-25,984487560.0,0.98448756
2025-11-26,996894360.0,0.99689436
2025-11-27,994410830.0,0.99441083
2025-11-28,990550950.0,0.99055095
2025-12-01,990582470.0,0.99058247
2025-12-02,996834080.0,0.99683408
2025-12-03,1005164280.0,1.00516428
2025-12-04,1011418430.0,1.01141843
2025-12-05,1010735580.0,1.01073558
2025-12-08,1014533430.0,1.01453343
2025-12-09,1018775330.0,1.01877533
2025-12-10,1011883780.0,1.01188378
2025-12-11,998616830.0,0.99861683
2025-12-12,1005650880.0,1.00565088
2025-12-15,989116430.0,0.98911643
2025-12-16,971093830.0,0.97109383
2025-12-17,971965380.0,0.97196538
2025-12-18,975765930.0,0.97576593
2025-12-19,982078780.0,0.98207878
2025-12-22,992737480.0,0.99273748
2025-12-23,994484830.0,0.99448483
2025-12-24,996320080.0,0.99632008
2025-12-26,999063530.0,0.99906353
2025-12-29,1008531580.0,1.00853158
2025-12-30,1025249730.0,1.02524973
2026-01-02,1039907430.0,1.03990743
2026-01-05,1053216680.0,1.05321668
2026-01-06,1065899390.0,1.06589939
2026-01-07,1061201520.0,1.06120152
2026-01-08,1058286310.0,1.05828631
2026-01-09,1062183130.0,1.06218313
2026-01-12,1059872880.0,1.05987288
2026-01-13,1076660830.0,1.07666083
2026-01-14,1091323980.0,1.09132398
2026-01-15,1086775680.0,1.08677568
2026-01-16,1099758230.0,1.09975823
2026-01-19,1143706400.0,1.1437064
2026-01-20,1178281280.0,1.17828128
2026-01-21,1163674330.0,1.16367433
2026-01-22,1182123180.0,1.18212318
2026-01-23,1194270980.0,1.19427098
2026-01-26,1175260230.0,1.17526023
2026-01-27,1285585280.0,1.28558528
2026-01-28,1298161630.0,1.29816163
2026-01-29,1320446330.0,1.32044633
2026-01-30,1385308430.0,1.38530843
2026-02-02,1296752120.0,1.29675212
2026-02-03,1382672930.0,1.38267293
2026-02-04,1444777230.0,1.44477723
2026-02-05,1414706730.0,1.41470673
2026-02-06,1297358130.0,1.29735813
2026-02-09,1382680530.0,1.38268053
2026-02-10,1377209030.0,1.37720903
2026-02-11,1392631380.0,1.39263138
2026-02-12,1447785980.0,1.44778598
2026-02-13,1546992280.0,1.54699228
2026-02-19,1527316530.0,1.52731653
2026-02-20,1547415780.0,1.54741578
2026-02-23,1566399880.0,1.56639988
2026-02-24,1591474980.0,1.59147498
2026-02-25,1615116480.0,1.61511648
2026-02-26,1633451180.0,1.63345118
2026-02-27,1608988830.0,1.60898883
2026-03-03,1555784830.0,1.55578483
2026-03-04,1455348780.0,1.45534878
2026-03-05,1517138880.0,1.51713888
2026-03-06,1509830430.0,1.50983043
2026-03-09,1468976830.0,1.46897683
2026-03-10,1504402630.0,1.50440263
2026-03-11,1515477780.0,1.51547778
2026-03-12,1508790730.0,1.50879073
2026-03-13,1488899480.0,1.48889948
2026-03-16,1502454630.0,1.50245463
2026-03-17,1529373680.0,1.52937368
2026-03-18,1567685330.0,1.56768533
2026-03-19,1547074780.0,1.54707478
2026-03-20,1549812530.0,1.54981253
2026-03-23,1494488530.0,1.49448853
2026-03-24,1525729580.0,1.52572958
2026-03-25,1542513380.0,1.54251338
2026-03-26,1510366830.0,1.51036683
2026-03-27,1502282730.0,1.50228273
2026-03-30,1470418630.0,1.47041863
2026-03-31,1434232630.0,1.43423263
2026-04-01,1471510480.0,1.47151048
2026-04-02,1437772580.0,1.43777258
2026-04-03,1449788030.0,1.44978803
2026-04-06,1452767130.0,1.45276713
2026-04-07,1461099180.0,1.46109918
2026-04-08,1531581880.0,1.53158188
2026-04-09,1528100280.0,1.52810028
2026-04-10,1535003080.0,1.53500308
2026-04-13,1538847980.0,1.53884798
2026-04-14,1583561730.0,1.58356173
2026-04-15,1606351630.0,1.60635163
2026-04-16,1622533930.0,1.62253393
2026-04-17,1618849630.0,1.61884963
2026-04-20,1626578180.0,1.62657818
2026-04-21,1642622530.0,1.64262253
2026-04-22,1644564630.0,1.64456463
2026-04-23,1648569830.0,1.64856983
2026-04-24,1650933680.0,1.65093368
2026-04-27,1689308830.0,1.68930883
2026-04-28,1703167130.0,1.70316713
2026-04-29,1719369780.0,1.71936978
2026-04-30,1719013680.0,1.71901368
2026-05-04,1815854880.0,1.81585488
2026-05-06,1869650980.0,1.86965098
2026-05-07,1873738980.0,1.87373898
2026-05-08,1876776530.0,1.87677653
2026-05-11,1933402230.0,1.93340223
2026-05-12,1896642880.0,1.89664288
2026-05-13,1936286980.0,1.93628698
2026-05-14,1932894130.0,1.93289413
2026-05-15,1887839686.0,1.887839686
2026-05-18,1851090092.0,1.851090092
2026-05-19,1806998376.0,1.806998376
2026-05-20,1791710578.0,1.791710578
2026-05-21,1921779342.0,1.921779342
2026-05-22,1973521680.0,1.97352168
2026-05-26,2060694306.0,2.060694306
2026-05-27,2065041232.0,2.065041232
2026-05-28,2092912314.0,2.092912314
2026-05-29,2213579032.0,2.213579032
2026-06-01,2262693516.0,2.262693516
2026-06-02,2184395552.0,2.184395552
2026-06-04,2132764852.0,2.132764852
2026-06-05,2101240902.0,2.101240902
2026-06-08,1951969052.0,1.951969052
2026-06-09,2071254352.0,2.071254352
2026-06-10,2005986052.0,2.005986052
2026-06-11,2014947802.0,2.014947802
2026-06-12,2036571552.0,2.036571552
2026-06-15,2180287252.0,2.180287252
2026-06-16,2191019152.0,2.191019152
2026-06-17,2194056002.0,2.194056002
2026-06-18,2200473602.0,2.200473602
2026-06-19,2191271252.0,2.191271252
2026-06-22,2164736552.0,2.164736552
2026-06-23,2006396152.0,2.006396152
2026-06-24,2033156952.0,2.033156952
2026-06-25,2056499352.0,2.056499352
2026-06-26,1987426702.0,1.987426702
2026-06-29,2046641352.0,2.046641352
2026-06-30,2066984852.0,2.066984852
2026-07-01,2086084652.0,2.086084652
2026-07-02,2001760552.0,2.001760552
2026-07-03,2041545902.0,2.041545902
2026-07-06,1975470102.0,1.975470102
2026-07-07,1911328652.0,1.911328652
2026-07-08,1823289752.0,1.823289752
2026-07-09,1802386852.0,1.802386852
2026-07-10,1849636702.0,1.849636702
2026-07-13,1727736002.0,1.727736002
2026-07-14,1662275952.0,1.662275952
