Code,rev_growth,gross_margin,ps_ratio
5930,0.1088009331364289,0.3937892286557561,5.48516976428639
660,0.4676285061130368,0.6041461532265515,17.401830889013958
402340,-0.1444590989042693,,147.6154385900033
9150,0.0991204638229065,0.2012794642941708,12.034742884527464
005930,0.10880093313642895,0.3937892286557561,5.48516976428639
000660,0.4676285061130368,0.6041461532265515,17.401830889013958
009150,0.09912046382290654,0.20127946429417082,12.034742884527464
005380,0.062907301648583,0.18371014468849908,0.5496720798199143
028260,-0.03232523492144137,0.18868837010837478,1.7851781922635255
207940,0.30305458155128506,0.5522615851022075,14.140312493087526
000270,0.06228240789618478,0.19719551232980698,0.5493238360802054
329180,0.21359124948021163,0.16860691390736746,3.4329084449201877
034020,0.050811199740283024,0.16082365706023422,3.210714978992695
034730,-0.005642891959458983,0.07813895005855505,0.39707001626964705
012330,0.06780810208502386,0.14447303007174941,0.7645404487771689
068270,0.1701264863287748,0.5926799460430379,9.866434291292306
042660,0.18629421172882768,0.14395871470304708,2.7037507447627838
267260,0.2278955790870177,0.34142417433479666,7.996733888741389
010120,0.09094378325776953,0.21172290220574205,6.479320426860978
066570,0.01678707989184137,0.23364856414760563,0.34010049169132656
009540,0.17207841336422483,0.17801031421421518,0.8499900531584148
005490,-0.049433880287863344,0.07476744902813513,0.3658454120970655
015760,0.04315307966809372,0.17165807517583048,0.2526889829779828
010130,0.3762518101679669,,1.3967448765609713
000150,0.09106465968935758,0.17252290698740577,1.1459366589537539
064350,0.33414851987393823,0.23839843994074747,3.7234162152163317
010140,0.07542430640537941,0.12904457749881437,1.9500449886406943
011070,0.03282184997656923,0.07990211997724031,0.9079202778622785
011200,-0.06912525777284265,0.18685053945560748,1.680109478422648
017670,-0.046898965358422334,,1.0677189941431808
267250,0.05155729215078687,0.14111309649817141,0.22946530301073056
272210,0.3069047289394867,0.10690944392486597,4.165955068666458
018260,0.04153003683854825,0.14552345877602482,1.0816370960105866
086280,0.040800498596146116,0.09367536409059259,0.5020054965422726
278470,1.1132297633366612,0.7664390043139172,9.155201435302638
307950,0.1449933969595758,0.10478081828254504,3.2118831141885833
010950,-0.06523656351957122,1.969536767894444,0.37739132623082394
028050,-0.09409295436446785,0.1477384304150079,1.0571983746140095
443060,0.13591962795986706,0.2294103424652522,4.612913097354702
180640,0.021237747980333146,0.4215801553565921,29.939435171435612
047050,0.003490705430110254,0.05979374077415119,0.2727939707515124
161390,1.2527004640560215,0.22002154484128011,0.40839284145977134
003230,0.3609749676292091,0.44775711816626634,3.4241193281601814
000880,0.3439299479220999,0.13422722390882502,0.10427398490133909
090430,0.09464582885296981,0.7233014647482421,1.6724712364864516
021240,0.1516016003219233,0.6413556552540747,1.3373418346861108
326030,0.2906241002220361,0.9392968179525021,9.341197618039446
062040,0.5028485166128327,0.4662493280409614,12.56482236073609
004170,0.05465198372539536,0.6051128254085947,0.909147384560136
241560,-0.013956730450983003,0.22425339779346035,1003.2484690558067
353200,0.19409448194020384,0.10165258223247882,5.631507867705956
128940,0.03479068430619265,0.571495412939966,3.588661063379711
000100,0.057474913341691934,0.33380835491661426,2.520588699099417
082740,0.14045247667062144,0.13527169708769227,3.2196711949396755
002380,-0.026272589521413536,0.25254707300726287,0.6467381235693324
069960,0.01019820457855788,0.6027633132968875,0.8630408745806332
012510,0.10927992793512113,0.5013660932244757,7.83076823813838
383220,0.020034886431284874,0.6679479743255253,1.5746736692397212
011780,-0.033523208829032716,0.0873343496284553,0.4187342515102221
017800,-0.14484430974445053,0.2454532365841638,1.1328241989045942
161890,0.11025617235768513,0.2907146467963757,1.0127290553436679
012750,0.030189241007677454,0.2349604452469143,0.9376790140901844
483650,0.6816509688832143,0.7589039476317131,5.1405350948531225
028670,0.05263680007316102,0.11288176748720018,0.4841038502984048
375500,-0.11011884923751633,0.12160450903812911,0.3486512338780649
026960,0.09004228825093065,0.16485196928851872,4.827104106348687
000240,0.04784772126864374,0.3711171056615957,1.6999807029529759
139480,-0.0017404216427970216,0.3138714651948225,0.08125273777005732
204320,0.06855992768511568,0.15269000892112852,0.24484737229445125
071970,0.2742364841836995,0.2550650316058043,5.403549315676082
004370,0.02198038905057104,0.2899382304357352,0.6161713573924229
007340,0.07021663097494306,0.2629297884032294,0.5889761130959107
282330,0.04166786346119875,0.1861827316386409,0.23709726048739388
007070,0.032643402164841705,0.24350256434873574,0.17480234697680005
018670,0.08179607282432963,0.10256535599790526,0.27073539842130706
439260,0.1421130736781647,0.26208000606454096,1.5878986467606209
103140,0.10850335700418634,0.11384731805659944,0.376352539305593
002790,0.08528126235889416,0.7359468492379296,0.4027008701669099
001740,-0.11912244045895665,0.12872077871921464,0.2700308700073401
011210,0.03675335409881032,0.06349326497799167,0.20809387407577445
000120,0.013856122282261163,0.11002467425138063,0.14205890806271743
007810,0.07304316376198872,0.07275863954456989,1.1421618016548654
023590,0.5048432073654467,0.14197149879117482,0.09674384270139026
006040,0.07149210369030176,0.17376126983993556,0.1565983840989419
001120,0.00413142455613621,0.08245796364611606,0.08839510572712375
475150,0.16103794343283026,0.2022574044575882,3.776479393964616
